,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q2.4,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q4.1,Q4.2,Q4.3_1,Q4.3_2,Q4.3_3,Q5.1,Q5.2,Q6.1_1,Q6.2_1,Q6.3
34,Yes,Yes,Frequently,Yes,Very frequently,Unsure,Disagree,Disagree,Disagree,Disagree,Somewhat uncomfortable,Neutral,Agree,Neutral,Neutral,Very unaware,Unsure,2004,Albanian,Female
35,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Disagree,Agree,Disagree,Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Neutral,Agree,Unaware,Yes,2005,Italian,Female
36,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Unlikely,Agree,Strongly Disagree,Neutral,Aware,Unsure,2005,Colombian,Male
37,Yes,Yes,Very frequently,Yes,Frequently,Yes,Disagree,Disagree,Strongly Disagree,Neutral,Somewhat uncomfortable,Somewhat Unlikely,Agree,Disagree,Disagree,Unaware,Yes,2001,Italian,Male
38,Yes,Yes,Very frequently,Yes,Occasionally,Yes,Neutral,Disagree,Strongly Disagree,Neutral,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Disagree,Unaware,Yes,2004,Dutch,Female
39,Yes,,Frequently,Yes,Very frequently,No,,,,,,,,,,,,,,
40,Yes,,Frequently,No,,Yes,,,,,,,,,,,,,,
41,Yes,Yes,Very frequently,Yes,Frequently,Yes,Disagree,Agree,Disagree,Strongly Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Agree,Disagree,Unaware,Unsure,2004,Dutch,Female
42,Yes,Yes,Occasionally,Yes,Occasionally,Yes,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Very Unlikely,Neutral,Strongly Disagree,Disagree,Aware,Unsure,1992,Dutch,Male
43,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Disagree,Agree,Disagree,Neutral,Extremely uncomfortable,Very Unlikely,Agree,Neutral,Disagree,Very unaware,Unsure,2003,Dutch,Female
44,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Disagree,Disagree,Agree,Agree,Somewhat uncomfortable,Very Unlikely,Agree,Disagree,Agree,Unaware,No,2005,Indian,Male
45,Yes,Yes,Frequently,Yes,Occasionally,Yes,Disagree,Disagree,Disagree,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Unaware,Yes,2002,Dutch,Male
46,Yes,Yes,Very frequently,Yes,Occasionally,Unsure,Disagree,Agree,Strongly Disagree,Neutral,Somewhat comfortable,Somewhat Unlikely,Agree,Strongly Disagree,Disagree,Unaware,No,2005,Turkish,Female
47,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Disagree,Agree,Disagree,Disagree,Neutral,Somewhat Likely,Agree,Agree,Neutral,Very unaware,Unsure,2005,French,Male
48,Yes,Yes,Occasionally,Yes,Rarely,Yes,Neutral,Disagree,Neutral,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Neutral,Neutral,Neutral,Neutral,Unsure,2004,Chinese,Male
49,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Disagree,Disagree,Strongly Disagree,Strongly Agree,Somewhat uncomfortable,Somewhat Unlikely,Strongly Agree,Agree,Disagree,Very unaware,No,2004,Swiss,Male
50,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Extremely uncomfortable,Somewhat Unlikely,Agree,Agree,Agree,Unaware,Yes,2003,Dutch,Male
51,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Agree,Neutral,Neutral,Neutral,Somewhat comfortable,Somewhat Likely,Agree,Disagree,Agree,Neutral,Unsure,2000,Dutch,Male
52,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Disagree,Agree,Agree,Neutral,Very Unlikely,Agree,Disagree,Agree,Unaware,Unsure,2004,Swedish,Male
53,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Agree,Disagree,Strongly Disagree,Agree,Neutral,Very Unlikely,Agree,Strongly Disagree,Disagree,Unaware,Unsure,2005,Dutch,Male
54,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Disagree,Agree,Neutral,Neutral,Extremely uncomfortable,Somewhat Likely,Agree,Agree,Disagree,Very unaware,Yes,2003,British,Male
55,Yes,Yes,Frequently,Yes,Occasionally,No,Disagree,Agree,Strongly Disagree,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Disagree,Very unaware,Yes,2003,Indian,Male
56,Yes,Yes,Rarely,Yes,Frequently,Unsure,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Very Unlikely,Agree,Disagree,Neutral,Aware,No,1998,Dutch,Female
57,Yes,Yes,Frequently,Yes,Frequently,No,Disagree,Disagree,Neutral,Disagree,Somewhat comfortable,Very Unlikely,Agree,Disagree,Neutral,Neutral,Unsure,2005,Turkish,Male
58,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Neutral,Strongly Agree,Neutral,Agree,Somewhat uncomfortable,Neutral,Strongly Agree,Strongly Agree,Disagree,Very unaware,Unsure,2005,Bulgarian,Female
59,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Disagree,Agree,Disagree,Disagree,Neutral,Somewhat Likely,Agree,Neutral,Disagree,Unaware,Yes,2004,Indian,Female
60,Yes,Yes,Occasionally,Yes,Frequently,No,Disagree,Neutral,Disagree,Disagree,Neutral,Somewhat Unlikely,Agree,Neutral,Neutral,Unaware,Unsure,2005,Indian,Female
61,Yes,Yes,Very frequently,Yes,Frequently,Unsure,Neutral,Agree,Neutral,Agree,Somewhat uncomfortable,Somewhat Likely,Strongly Agree,Agree,Strongly Disagree,Neutral,Unsure,2003,American,Female
62,Yes,Yes,Very frequently,Yes,Occasionally,Unsure,Neutral,Strongly Agree,Neutral,Neutral,Somewhat comfortable,Somewhat Likely,Strongly Disagree,Strongly Agree,Neutral,Very unaware,No,2003,Polish,Male
63,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Agree,Disagree,Neutral,Agree,Somewhat uncomfortable,Neutral,Neutral,Disagree,Disagree,Unaware,Unsure,2004,Spanish,Male
64,Yes,Yes,Occasionally,Yes,Very rarely,Yes,Neutral,Disagree,Strongly Disagree,Strongly Agree,Neutral,Very Unlikely,Strongly Agree,Strongly Disagree,Disagree,Unaware,Unsure,1997,Dutch,Female
65,Yes,Yes,Rarely,Yes,Occasionally,Unsure,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Very Unlikely,Neutral,Strongly Disagree,Agree,Aware,No,2005,Dutch,Male
66,Yes,Yes,Frequently,No,,No,Disagree,Strongly Disagree,Disagree,Neutral,Somewhat comfortable,Somewhat Unlikely,Neutral,Disagree,Neutral,Unaware,Unsure,2001,Dutch,Male
67,Yes,Yes,Frequently,Yes,Very frequently,Unsure,Strongly Disagree,Agree,Disagree,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Neutral,Agree,Strongly Disagree,Unaware,Yes,1991,British,Male
68,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Disagree,Disagree,Disagree,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Agree,Very unaware,Yes,2001,French,Male
69,Yes,Yes,Very frequently,Yes,Frequently,Unsure,Disagree,Strongly Agree,Neutral,Neutral,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Disagree,Very unaware,Yes,2000,Italian,Female
70,Yes,Yes,Occasionally,No,,Unsure,Neutral,Agree,Agree,Agree,Somewhat comfortable,Somewhat Likely,Agree,Agree,Disagree,Very unaware,Unsure,2002,Slovak,Male
71,Yes,Yes,Frequently,Yes,Frequently,Unsure,Neutral,Disagree,Neutral,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Neutral,Aware,Unsure,2002,Romanian,Female
72,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Neutral,Neutral,Disagree,Neutral,Somewhat comfortable,Somewhat Likely,Disagree,Neutral,Disagree,Aware,Unsure,1996,Dutch,Female
73,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Unaware,Unsure,2004,Vietnamese,Male
74,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Neutral,Neutral,Neutral,Somewhat uncomfortable,Very Likely,Agree,Agree,Agree,Unaware,Unsure,1997,Canadian,Female
75,Yes,Yes,Occasionally,No,,Unsure,,,,,,,,,,,,,,
76,Yes,Yes,Very frequently,Yes,Frequently,Unsure,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Extremely uncomfortable,Very Likely,Strongly Agree,Strongly Agree,Neutral,Very unaware,Yes,2004,Indian,Female
77,Yes,Yes,Frequently,No,,Unsure,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Very Unlikely,Agree,Disagree,Neutral,Very unaware,Unsure,2003,Indian,Female
78,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat uncomfortable,Very Likely,Neutral,Strongly Agree,Strongly Agree,Very unaware,Unsure,2004,Indian,Female
79,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,
80,Yes,Yes,Frequently,Yes,Frequently,Yes,,,,,,,,,,,,,,
81,Yes,Yes,Frequently,Yes,Frequently,Unsure,,,,,,,,,,,,,,
82,Yes,Yes,Very frequently,Yes,Occasionally,Yes,Agree,Agree,Agree,Agree,Somewhat comfortable,Somewhat Likely,Agree,Agree,Agree,Very unaware,Unsure,1998,Dutch,Male
83,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Disagree,Neutral,Strongly Disagree,Neutral,Somewhat uncomfortable,Neutral,Strongly Agree,Disagree,Agree,Unaware,Unsure,2003,Dutch,Female
84,Yes,Yes,Frequently,Yes,Occasionally,Yes,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Extremely uncomfortable,Somewhat Likely,Agree,Agree,Disagree,Very unaware,Yes,2004,Polish,Female
85,Yes,Yes,Frequently,Yes,Frequently,No,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Unaware,Yes,2004,Indian,Female
86,Yes,Yes,Frequently,Yes,Rarely,No,,,,,,,,,,,,,,
87,Yes,Yes,Occasionally,Yes,Frequently,No,Disagree,Disagree,Neutral,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Aware,Yes,1999,Indian,Male
88,Yes,Yes,Rarely,Yes,Occasionally,Unsure,Disagree,Agree,Disagree,Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Neutral,Agree,Very unaware,Unsure,2003,South African,Female
89,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Agree,Unaware,Unsure,1994,Finnish,Female
90,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Neutral,Strongly Agree,Strongly Disagree,Disagree,Extremely uncomfortable,Somewhat Likely,Agree,Strongly Agree,Strongly Disagree,Very unaware,Yes,2004,American,Female
91,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Agree,Neutral,Neutral,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Unaware,Unsure,2004,Portuguese,Male
92,Yes,Yes,Occasionally,Yes,Frequently,Unsure,Disagree,Agree,Disagree,Disagree,Somewhat uncomfortable,Very Likely,Strongly Agree,Disagree,Agree,Neutral,Unsure,1999,Turkish,Female
93,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Agree,Agree,Strongly Disagree,Agree,Extremely uncomfortable,Very Likely,Strongly Agree,Strongly Agree,Strongly Disagree,Very unaware,Yes,2002,Dutch,Female
94,Yes,Yes,Frequently,No,,Unsure,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Very aware,Unsure,1997,Albanian,Female
95,Yes,Yes,Occasionally,Yes,Occasionally,No,Disagree,Disagree,Disagree,Disagree,Extremely comfortable,Somewhat Likely,Agree,Neutral,Disagree,Aware,Yes,2004,Filipino,Female
96,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Neutral,Strongly Agree,Neutral,Neutral,Somewhat comfortable,Very Likely,Agree,Disagree,Strongly Agree,Aware,Unsure,1999,Dutch,Female
