StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q2.4,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q4.1,Q4.2,Q4.3_1,Q4.3_2,Q4.3_3,Q5.1,Q5.2,Q6.1_1,Q6.2_1,Q6.3,Q6.3_4_TEXT
03/12/2023 11:58,03/12/2023 12:30,IP Address,100,1962,TRUE,03/12/2023 12:30,R_2D5iwRhE3BhOmt4,anonymous,EN,Yes,Yes,Occasionally,Yes,Frequently,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Disagree,Disagree,Very aware,Yes,1999,Dutch,Female,
04/12/2023 1:53,04/12/2023 2:14,IP Address,100,1220,TRUE,04/12/2023 2:14,R_1roZ8CqSg4k5cYJ,anonymous,EN,Yes,Yes,Occasionally,Yes,Rarely,Unsure,Strongly Disagree,Neutral,Disagree,Disagree,Somewhat uncomfortable,Neutral,Agree,Agree,Agree,Neutral,Yes,2005,Cambodian,Female,
04/12/2023 3:31,04/12/2023 3:36,IP Address,100,282,TRUE,04/12/2023 3:36,R_33qW8pRSFeWLdEa,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,Unsure,Agree,Agree,Agree,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Neutral,Aware,Unsure,2005,Dutch,Male,
04/12/2023 4:18,04/12/2023 4:21,IP Address,100,187,TRUE,04/12/2023 4:21,R_3HZDhtSJQ5VgeWE,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat uncomfortable,Somewhat Unlikely,Strongly Agree,Disagree,Strongly Disagree,Very unaware,Yes,2003,Dutch,Male,
04/12/2023 4:34,04/12/2023 4:37,IP Address,100,226,TRUE,04/12/2023 4:37,R_3eslSWVpQHg1jMT,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,Unsure,Neutral,Neutral,Disagree,Neutral,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Disagree,Unaware,Yes,2004,Indonesian,Female,
04/12/2023 5:11,04/12/2023 5:11,IP Address,100,7,TRUE,04/12/2023 5:11,R_2w1drD5XV4AGn2a,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,
04/12/2023 6:06,04/12/2023 6:08,IP Address,100,162,TRUE,04/12/2023 6:08,R_2OOn9aeEvMaTOk4,anonymous,EN,Yes,Yes,Frequently,Yes,Very frequently,Unsure,Neutral,Agree,Disagree,Disagree,Extremely uncomfortable,Somewhat Unlikely,Agree,Strongly Agree,Disagree,Very unaware,Yes,2005,Dutch,Female,
04/12/2023 6:11,04/12/2023 6:13,IP Address,100,105,TRUE,04/12/2023 6:13,R_3MF0iWI7xCMuRPm,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Neutral,Strongly Agree,Disagree,Neutral,Somewhat uncomfortable,Very Unlikely,Agree,Strongly Disagree,Agree,Very unaware,Yes,2004,Finnish,Non-binary,
04/12/2023 6:23,04/12/2023 6:26,IP Address,100,162,TRUE,04/12/2023 6:26,R_XsUJp0r3R5OTAe5,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,Unsure,Strongly Disagree,Disagree,Disagree,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Very unaware,Unsure,2002,Polish,Female,
04/12/2023 6:23,04/12/2023 6:27,IP Address,100,253,TRUE,04/12/2023 6:27,R_3DwHRCBsjpePWcN,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,Unsure,Agree,Agree,Agree,Agree,Somewhat uncomfortable,Neutral,Strongly Agree,Strongly Agree,Disagree,Unaware,Yes,2005,Turkish,Female,
04/12/2023 6:29,04/12/2023 6:32,IP Address,100,164,TRUE,04/12/2023 6:32,R_1Nw4uJGih1nN5Qc,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Disagree,Neutral,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Disagree,Neutral,Aware,No,2001,Dutch,Female,
04/12/2023 6:34,04/12/2023 6:37,IP Address,100,188,TRUE,04/12/2023 6:37,R_4Zyt0VCaDAwgZIB,anonymous,EN,Yes,Yes,Very frequently,Yes,Occasionally,Unsure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Neutral,Disagree,Unaware,Unsure,2004,Greek,Female,
04/12/2023 7:03,04/12/2023 7:05,IP Address,100,137,TRUE,04/12/2023 7:05,R_2WUaL86EikQ4CaM,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Disagree,Disagree,Disagree,Neutral,Somewhat uncomfortable,Somewhat Likely,Agree,Neutral,Agree,Unaware,Yes,2004,Czech,Male,
04/12/2023 7:03,04/12/2023 7:06,IP Address,100,217,TRUE,04/12/2023 7:06,R_3EXf1BuwB5FPDAd,anonymous,EN,Yes,Yes,Very frequently,Yes,Frequently,Unsure,Disagree,Agree,Neutral,Disagree,Somewhat uncomfortable,Somewhat Likely,Strongly Agree,Neutral,Disagree,Very unaware,Unsure,2005,Polish,Female,
04/12/2023 7:03,04/12/2023 7:06,IP Address,100,228,TRUE,04/12/2023 7:06,R_2zwHtJmCetWvjbV,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,Unsure,Disagree,Agree,Strongly Disagree,Disagree,Somewhat uncomfortable,Somewhat Likely,Disagree,Disagree,Agree,Unaware,Yes,2003,German,Female,
04/12/2023 6:50,04/12/2023 7:18,IP Address,100,1721,TRUE,04/12/2023 7:18,R_1i21MSAs6J8gTwi,anonymous,EN,Yes,Yes,Very frequently,Yes,Frequently,Yes,Neutral,Agree,Disagree,Neutral,Neutral,Very Likely,Strongly Agree,Neutral,Agree,Unaware,Unsure,2004,Taiwanese,Male,
04/12/2023 8:33,04/12/2023 8:38,IP Address,100,327,TRUE,04/12/2023 8:38,R_2rphrQTZqwjfODE,anonymous,EN,Yes,Yes,Occasionally,Yes,Very frequently,Yes,Agree,Agree,Agree,Agree,Somewhat uncomfortable,Somewhat Unlikely,Disagree,Neutral,Strongly Disagree,Unaware,Unsure,2001,Dutch,Male,
04/12/2023 7:09,04/12/2023 8:45,IP Address,100,5742,TRUE,04/12/2023 8:45,R_2yemU0UeV6SLu3t,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Yes,Disagree,Agree,Neutral,Neutral,Somewhat uncomfortable,Somewhat Unlikely,Agree,Disagree,Neutral,Very unaware,Unsure,2005,Iraqi,Female,
04/12/2023 9:11,04/12/2023 9:17,IP Address,100,411,TRUE,04/12/2023 9:17,R_vf3qNZYqr4Bp5Ul,anonymous,EN,Yes,Yes,Occasionally,Yes,Rarely,Unsure,Neutral,Agree,Neutral,Agree,Neutral,Somewhat Likely,Agree,Strongly Disagree,Agree,Aware,Yes,2005,Dutch,Male,
04/12/2023 10:09,04/12/2023 10:13,IP Address,100,213,TRUE,04/12/2023 10:13,R_zYaLQev5Wc7aYNj,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Strongly Disagree,Agree,Neutral,Disagree,Somewhat uncomfortable,Neutral,Strongly Agree,Neutral,Neutral,Unaware,Unsure,2003,German,Female,
04/12/2023 10:20,04/12/2023 10:23,IP Address,100,163,TRUE,04/12/2023 10:23,R_1n8ZVwm6FeAI4N6,anonymous,EN,Yes,Yes,Occasionally,Yes,Frequently,Yes,Disagree,Agree,Neutral,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Neutral,Agree,Disagree,Aware,Unsure,2005,Dutch,Female,
04/12/2023 12:07,04/12/2023 12:17,IP Address,100,600,TRUE,04/12/2023 12:17,R_1hF3E8RBgV6aFgC,anonymous,EN,Yes,Yes,Very frequently,No,,Unsure,Disagree,Agree,Disagree,Neutral,Neutral,Somewhat Unlikely,Agree,Disagree,Neutral,Aware,Unsure,2003,Dutch,Male,
04/12/2023 23:35,04/12/2023 23:38,IP Address,100,220,TRUE,04/12/2023 23:38,R_122RvJANXFXxsIh,anonymous,EN,Yes,Yes,Occasionally,Yes,Frequently,Yes,Agree,Strongly Agree,Agree,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Disagree,Unaware,Yes,2005,Dutch,Male,
05/12/2023 4:42,05/12/2023 4:44,IP Address,100,118,TRUE,05/12/2023 4:44,R_3FIl4mkvPZr257t,anonymous,EN,Yes,Yes,Frequently,Yes,Very frequently,Unsure,Disagree,Disagree,Disagree,Disagree,Somewhat uncomfortable,Neutral,Agree,Neutral,Neutral,Very unaware,Unsure,2004,Albanian,Female,
05/12/2023 4:48,05/12/2023 4:51,IP Address,100,170,TRUE,05/12/2023 4:51,R_YRgSzKdySuU1Mv7,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Disagree,Agree,Disagree,Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Neutral,Agree,Unaware,Yes,2005,Italian,Female,
05/12/2023 8:35,05/12/2023 8:37,IP Address,100,123,TRUE,05/12/2023 8:37,R_2qlzgCSln1v5MLp,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Unlikely,Agree,Strongly Disagree,Neutral,Aware,Unsure,2005,Colombian,Male,
06/12/2023 3:31,06/12/2023 3:41,IP Address,100,632,TRUE,06/12/2023 3:41,R_3Dd8E5EyZmxXbL6,anonymous,EN,Yes,Yes,Very frequently,Yes,Frequently,Yes,Disagree,Disagree,Strongly Disagree,Neutral,Somewhat uncomfortable,Somewhat Unlikely,Agree,Disagree,Disagree,Unaware,Yes,2001,Italian,Male,
06/12/2023 3:32,06/12/2023 3:53,IP Address,100,1282,TRUE,06/12/2023 3:53,R_1i3VlfZQqz8JKJQ,anonymous,EN,Yes,Yes,Very frequently,Yes,Occasionally,Yes,Neutral,Disagree,Strongly Disagree,Neutral,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Disagree,Unaware,Yes,2004,Dutch,Female,
06/12/2023 6:41,06/12/2023 6:42,IP Address,100,44,TRUE,06/12/2023 6:42,R_3fUl94bKqFDSCe7,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
29/11/2023 7:02,29/11/2023 7:04,IP Address,30,142,FALSE,06/12/2023 7:04,R_2w6QsUnhaM6X7gH,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,
29/11/2023 7:15,29/11/2023 7:16,IP Address,30,75,FALSE,06/12/2023 7:16,R_3gMaHuKJYqgimHR,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,
29/11/2023 7:17,29/11/2023 7:18,IP Address,65,74,FALSE,06/12/2023 7:18,R_esb5eF2QhkbDnZD,anonymous,EN,Yes,,Frequently,Yes,Very frequently,No,,,,,,,,,,,,,,,
29/11/2023 8:15,29/11/2023 8:15,IP Address,30,28,FALSE,06/12/2023 8:15,R_1pu08MZfdI91fZv,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,
29/11/2023 8:39,29/11/2023 8:40,IP Address,50,46,FALSE,06/12/2023 8:40,R_3KILcNsXFH50Ljc,anonymous,EN,Yes,,Frequently,No,,Yes,,,,,,,,,,,,,,,
06/12/2023 14:15,06/12/2023 14:16,IP Address,100,22,TRUE,06/12/2023 14:16,R_1IyGLUT3JBXyj6e,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 4:14,07/12/2023 4:14,IP Address,100,26,TRUE,07/12/2023 4:14,R_DDe51UAa8EX84kF,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 5:17,07/12/2023 5:19,IP Address,100,145,TRUE,07/12/2023 5:19,R_1Q4RFP6uB5miizX,anonymous,EN,Yes,Yes,Very frequently,Yes,Frequently,Unsure,Agree,Agree,Disagree,Agree,Somewhat uncomfortable,Somewhat Likely,Strongly Agree,Disagree,Neutral,Aware,No,2003,Canadian,Non-binary,
07/12/2023 5:32,07/12/2023 5:32,IP Address,100,16,TRUE,07/12/2023 5:32,R_24Dd3ZOZt86M1EW,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 5:53,07/12/2023 5:54,IP Address,100,11,TRUE,07/12/2023 5:54,R_3hyxXdeQbpb7iQa,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 5:55,07/12/2023 5:55,IP Address,100,21,TRUE,07/12/2023 5:55,R_1jjnYzgx6e3DNZe,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 6:18,07/12/2023 6:20,IP Address,100,104,TRUE,07/12/2023 6:20,R_3NzchcygV842zEb,anonymous,EN,Yes,Yes,Very frequently,Yes,Frequently,Yes,Disagree,Agree,Disagree,Strongly Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Agree,Disagree,Unaware,Unsure,2004,Dutch,Female,
07/12/2023 6:32,07/12/2023 6:34,IP Address,100,92,TRUE,07/12/2023 6:34,R_uvO11BXgyEG7Gox,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 6:37,07/12/2023 6:41,IP Address,100,258,TRUE,07/12/2023 6:41,R_SJlvlq8fKAfEk49,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,Yes,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Very Unlikely,Neutral,Strongly Disagree,Disagree,Aware,Unsure,1992,Dutch,Male,
07/12/2023 6:49,07/12/2023 6:51,IP Address,100,106,TRUE,07/12/2023 6:51,R_2yllYzTLToVHSpn,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Disagree,Agree,Disagree,Neutral,Extremely uncomfortable,Very Unlikely,Agree,Neutral,Disagree,Very unaware,Unsure,2003,Dutch,Female,
07/12/2023 7:26,07/12/2023 7:29,IP Address,100,134,TRUE,07/12/2023 7:29,R_26ankvINAwdIlBa,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Disagree,Disagree,Agree,Agree,Somewhat uncomfortable,Very Unlikely,Agree,Disagree,Agree,Unaware,No,2005,Indian,Male,
07/12/2023 7:27,07/12/2023 7:30,IP Address,100,206,TRUE,07/12/2023 7:30,R_3jTnzVme07XU5r1,qr,EN,Yes,Yes,Frequently,Yes,Occasionally,Yes,Disagree,Disagree,Disagree,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Unaware,Yes,2002,Dutch,Male,
07/12/2023 7:34,07/12/2023 7:34,IP Address,100,47,TRUE,07/12/2023 7:34,R_3NUvxBnHIxyiSeE,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 7:48,07/12/2023 7:49,IP Address,100,61,TRUE,07/12/2023 7:49,R_3nV5DaXNnR8XKtB,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 7:51,07/12/2023 7:52,IP Address,100,31,TRUE,07/12/2023 7:52,R_302bzBBhEfrwqYR,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 7:55,07/12/2023 7:59,IP Address,100,220,TRUE,07/12/2023 7:59,R_2rwnWQQKMzbt2C3,anonymous,EN,Yes,Yes,Very frequently,Yes,Occasionally,Unsure,Disagree,Agree,Strongly Disagree,Neutral,Somewhat comfortable,Somewhat Unlikely,Agree,Strongly Disagree,Disagree,Unaware,No,2005,Turkish,Female,
07/12/2023 8:04,07/12/2023 8:07,IP Address,100,187,TRUE,07/12/2023 8:07,R_110X0OlQ2tAM6kv,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Disagree,Agree,Disagree,Disagree,Neutral,Somewhat Likely,Agree,Agree,Neutral,Very unaware,Unsure,2005,French,Male,
07/12/2023 8:05,07/12/2023 8:07,IP Address,100,135,TRUE,07/12/2023 8:07,R_798fWTjrPGtavPH,anonymous,EN,Yes,Yes,Occasionally,Yes,Rarely,Yes,Neutral,Disagree,Neutral,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Neutral,Neutral,Neutral,Neutral,Unsure,2004,Chinese,Male,
07/12/2023 8:21,07/12/2023 8:23,IP Address,100,121,TRUE,07/12/2023 8:23,R_10GTR66qIj7tDhw,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Disagree,Disagree,Strongly Disagree,Strongly Agree,Somewhat uncomfortable,Somewhat Unlikely,Strongly Agree,Agree,Disagree,Very unaware,No,2004,Swiss,Male,
07/12/2023 8:24,07/12/2023 8:28,IP Address,100,244,TRUE,07/12/2023 8:28,R_2RWFu8kPHOqxFGK,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Extremely uncomfortable,Somewhat Unlikely,Agree,Agree,Agree,Unaware,Yes,2003,Dutch,Male,
07/12/2023 8:28,07/12/2023 8:33,IP Address,100,309,TRUE,07/12/2023 8:33,R_3lK3Bxp4JB1lmhV,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Agree,Neutral,Neutral,Neutral,Somewhat comfortable,Somewhat Likely,Agree,Disagree,Agree,Neutral,Unsure,2000,Dutch,Male,
07/12/2023 8:35,07/12/2023 8:37,IP Address,100,114,TRUE,07/12/2023 8:37,R_2OHnl7F4Yn4zsg6,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Disagree,Agree,Agree,Neutral,Very Unlikely,Agree,Disagree,Agree,Unaware,Unsure,2004,Swedish,Male,
07/12/2023 8:42,07/12/2023 8:45,IP Address,100,162,TRUE,07/12/2023 8:45,R_6lgUxNuimrOMvhD,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Agree,Disagree,Strongly Disagree,Agree,Neutral,Very Unlikely,Agree,Strongly Disagree,Disagree,Unaware,Unsure,2005,Dutch,Male,
07/12/2023 9:04,07/12/2023 9:06,IP Address,100,110,TRUE,07/12/2023 9:06,R_3khyMWqhtvcCepP,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Disagree,Agree,Neutral,Neutral,Extremely uncomfortable,Somewhat Likely,Agree,Agree,Disagree,Very unaware,Yes,2003,British,Male,
07/12/2023 9:07,07/12/2023 9:08,IP Address,100,35,TRUE,07/12/2023 9:08,R_3EoGedFV4YlxAJH,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 9:13,07/12/2023 9:18,IP Address,100,272,TRUE,07/12/2023 9:18,R_1F3vZQRz0jGV2EE,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,No,Disagree,Agree,Strongly Disagree,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Disagree,Very unaware,Yes,2003,Indian,Male,
07/12/2023 9:28,07/12/2023 9:30,IP Address,100,126,TRUE,07/12/2023 9:30,R_12hWcfz304M7qZZ,anonymous,EN,Yes,Yes,Rarely,Yes,Frequently,Unsure,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Very Unlikely,Agree,Disagree,Neutral,Aware,No,1998,Dutch,Female,
07/12/2023 9:35,07/12/2023 9:35,IP Address,100,28,TRUE,07/12/2023 9:35,R_1DLIZm8f8AG9t0t,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,
